l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,,,use_planchg_05,변경 요금제 선택,T월드
,,,,,use_planchg_06,변경 시 연동 서비스 영향 확인,T월드
,,,,,use_planchg_07,요금제 가입,T월드
,,,,,use_planchg_08,요금제 변경 완료 확인,T월드
,,,,,use_planchg_09,월 납부 금액 확인,T월드
,,,use_addmgmt,부가서비스 관리,use_addmgmt_01,가입중 부가서비스 목록 조회,T월드
,,,,,use_addmgmt_02,부가서비스 선택,T월드
,,,,,use_addmgmt_03,부가서비스 가입/해지,T월드
,,,,,use_addmgmt_04,자동가입/해지 상품 안내,T월드
,,,use_info_member,회원정보 관리,use_info_member_01,회원정보 조회 및 관리,T월드
,,,,,use_info_member_02,개인정보수집/이용약관 관리,T월드
,,,,,use_info_member_03,광고성 정보 수신 동의 관리,T월드
,,,,,use_info_member_04,고객보호 비밀번호 설정/변경,T월드
,,,use_info_line,이용회선 관리,use_info_line_01,회선 관리,T월드
,,,,,use_info_line_03,가족 회선 통합 관리 (부가서비스/약정/요금제),T월드
